date,year,month,month_name,key_word,value
2008-01-01,2008,1,January,muslim,0
2008-01-01,2008,1,January,terrorism,21
2008-02-01,2008,2,February,muslim,42
2008-02-01,2008,2,February,terrorism,43
2008-03-01,2008,3,March,muslim,24
2008-03-01,2008,3,March,terrorism,0
2008-04-01,2008,4,April,muslim,0
2008-04-01,2008,4,April,terrorism,0
2008-05-01,2008,5,May,muslim,0
2008-05-01,2008,5,May,terrorism,0
2008-06-01,2008,6,June,muslim,26
2008-06-01,2008,6,June,terrorism,27
2008-07-01,2008,7,July,muslim,28
2008-07-01,2008,7,July,terrorism,0
2008-08-01,2008,8,August,muslim,0
2008-08-01,2008,8,August,terrorism,0
2008-09-01,2008,9,September,muslim,52
2008-09-01,2008,9,September,terrorism,17
2008-10-01,2008,10,October,muslim,57
2008-10-01,2008,10,October,terrorism,19
2008-11-01,2008,11,November,muslim,34
2008-11-01,2008,11,November,terrorism,17
2008-12-01,2008,12,December,muslim,0
2008-12-01,2008,12,December,terrorism,0
2009-01-01,2009,1,January,muslim,17
2009-01-01,2009,1,January,terrorism,17
2009-02-01,2009,2,February,muslim,0
2009-02-01,2009,2,February,terrorism,0
2009-03-01,2009,3,March,muslim,0
2009-03-01,2009,3,March,terrorism,17
2009-04-01,2009,4,April,muslim,11
2009-04-01,2009,4,April,terrorism,11
2009-05-01,2009,5,May,muslim,0
2009-05-01,2009,5,May,terrorism,11
2009-06-01,2009,6,June,muslim,20
2009-06-01,2009,6,June,terrorism,0
2009-07-01,2009,7,July,muslim,20
2009-07-01,2009,7,July,terrorism,0
2009-08-01,2009,8,August,muslim,0
2009-08-01,2009,8,August,terrorism,0
2009-09-01,2009,9,September,muslim,19
2009-09-01,2009,9,September,terrorism,19
2009-10-01,2009,10,October,muslim,0
2009-10-01,2009,10,October,terrorism,36
2009-11-01,2009,11,November,muslim,19
2009-11-01,2009,11,November,terrorism,0
2009-12-01,2009,12,December,muslim,19
2009-12-01,2009,12,December,terrorism,0
2010-01-01,2010,1,January,muslim,18
2010-01-01,2010,1,January,terrorism,37
2010-02-01,2010,2,February,muslim,19
2010-02-01,2010,2,February,terrorism,0
2010-03-01,2010,3,March,muslim,20
2010-03-01,2010,3,March,terrorism,20
2010-04-01,2010,4,April,muslim,30
2010-04-01,2010,4,April,terrorism,0
2010-05-01,2010,5,May,muslim,0
2010-05-01,2010,5,May,terrorism,62
2010-06-01,2010,6,June,muslim,30
2010-06-01,2010,6,June,terrorism,0
2010-07-01,2010,7,July,muslim,0
2010-07-01,2010,7,July,terrorism,0
2010-08-01,2010,8,August,muslim,44
2010-08-01,2010,8,August,terrorism,29
2010-09-01,2010,9,September,muslim,61
2010-09-01,2010,9,September,terrorism,0
2010-10-01,2010,10,October,muslim,30
2010-10-01,2010,10,October,terrorism,0
2010-11-01,2010,11,November,muslim,33
2010-11-01,2010,11,November,terrorism,34
2010-12-01,2010,12,December,muslim,0
2010-12-01,2010,12,December,terrorism,0
2011-01-01,2011,1,January,muslim,0
2011-01-01,2011,1,January,terrorism,0
2011-02-01,2011,2,February,muslim,18
2011-02-01,2011,2,February,terrorism,18
2011-03-01,2011,3,March,muslim,15
2011-03-01,2011,3,March,terrorism,29
2011-04-01,2011,4,April,muslim,16
2011-04-01,2011,4,April,terrorism,16
2011-05-01,2011,5,May,muslim,31
2011-05-01,2011,5,May,terrorism,0
2011-06-01,2011,6,June,muslim,70
2011-06-01,2011,6,June,terrorism,0
2011-07-01,2011,7,July,muslim,27
2011-07-01,2011,7,July,terrorism,0
2011-08-01,2011,8,August,muslim,0
2011-08-01,2011,8,August,terrorism,0
2011-09-01,2011,9,September,muslim,25
2011-09-01,2011,9,September,terrorism,33
2011-10-01,2011,10,October,muslim,0
2011-10-01,2011,10,October,terrorism,0
2011-11-01,2011,11,November,muslim,28
2011-11-01,2011,11,November,terrorism,0
2011-12-01,2011,12,December,muslim,0
2011-12-01,2011,12,December,terrorism,15
2012-01-01,2012,1,January,muslim,28
2012-01-01,2012,1,January,terrorism,14
2012-02-01,2012,2,February,muslim,29
2012-02-01,2012,2,February,terrorism,14
2012-03-01,2012,3,March,muslim,13
2012-03-01,2012,3,March,terrorism,14
2012-04-01,2012,4,April,muslim,15
2012-04-01,2012,4,April,terrorism,0
2012-05-01,2012,5,May,muslim,29
2012-05-01,2012,5,May,terrorism,15
2012-06-01,2012,6,June,muslim,15
2012-06-01,2012,6,June,terrorism,0
2012-07-01,2012,7,July,muslim,0
2012-07-01,2012,7,July,terrorism,14
2012-08-01,2012,8,August,muslim,25
2012-08-01,2012,8,August,terrorism,13
2012-09-01,2012,9,September,muslim,36
2012-09-01,2012,9,September,terrorism,0
2012-10-01,2012,10,October,muslim,8
2012-10-01,2012,10,October,terrorism,8
2012-11-01,2012,11,November,muslim,11
2012-11-01,2012,11,November,terrorism,0
2012-12-01,2012,12,December,muslim,8
2012-12-01,2012,12,December,terrorism,16
2013-01-01,2013,1,January,muslim,16
2013-01-01,2013,1,January,terrorism,8
2013-02-01,2013,2,February,muslim,9
2013-02-01,2013,2,February,terrorism,9
2013-03-01,2013,3,March,muslim,8
2013-03-01,2013,3,March,terrorism,0
2013-04-01,2013,4,April,muslim,11
2013-04-01,2013,4,April,terrorism,15
2013-05-01,2013,5,May,muslim,8
2013-05-01,2013,5,May,terrorism,8
2013-06-01,2013,6,June,muslim,8
2013-06-01,2013,6,June,terrorism,0
2013-07-01,2013,7,July,muslim,12
2013-07-01,2013,7,July,terrorism,0
2013-08-01,2013,8,August,muslim,8
2013-08-01,2013,8,August,terrorism,8
2013-09-01,2013,9,September,muslim,21
2013-09-01,2013,9,September,terrorism,21
2013-10-01,2013,10,October,muslim,0
2013-10-01,2013,10,October,terrorism,0
2013-11-01,2013,11,November,muslim,0
2013-11-01,2013,11,November,terrorism,0
2013-12-01,2013,12,December,muslim,9
2013-12-01,2013,12,December,terrorism,9
2014-01-01,2014,1,January,muslim,8
2014-01-01,2014,1,January,terrorism,13
2014-02-01,2014,2,February,muslim,0
2014-02-01,2014,2,February,terrorism,27
2014-03-01,2014,3,March,muslim,0
2014-03-01,2014,3,March,terrorism,8
2014-04-01,2014,4,April,muslim,8
2014-04-01,2014,4,April,terrorism,8
2014-05-01,2014,5,May,muslim,21
2014-05-01,2014,5,May,terrorism,9
2014-06-01,2014,6,June,muslim,9
2014-06-01,2014,6,June,terrorism,0
2014-07-01,2014,7,July,muslim,17
2014-07-01,2014,7,July,terrorism,9
2014-08-01,2014,8,August,muslim,0
2014-08-01,2014,8,August,terrorism,0
2014-09-01,2014,9,September,muslim,8
2014-09-01,2014,9,September,terrorism,12
2014-10-01,2014,10,October,muslim,16
2014-10-01,2014,10,October,terrorism,0
2014-11-01,2014,11,November,muslim,17
2014-11-01,2014,11,November,terrorism,9
2014-12-01,2014,12,December,muslim,0
2014-12-01,2014,12,December,terrorism,0
2015-01-01,2015,1,January,muslim,27
2015-01-01,2015,1,January,terrorism,13
2015-02-01,2015,2,February,muslim,10
2015-02-01,2015,2,February,terrorism,10
2015-03-01,2015,3,March,muslim,18
2015-03-01,2015,3,March,terrorism,0
2015-04-01,2015,4,April,muslim,19
2015-04-01,2015,4,April,terrorism,10
2015-05-01,2015,5,May,muslim,0
2015-05-01,2015,5,May,terrorism,21
2015-06-01,2015,6,June,muslim,16
2015-06-01,2015,6,June,terrorism,11
2015-07-01,2015,7,July,muslim,22
2015-07-01,2015,7,July,terrorism,33
2015-08-01,2015,8,August,muslim,11
2015-08-01,2015,8,August,terrorism,0
2015-09-01,2015,9,September,muslim,51
2015-09-01,2015,9,September,terrorism,0
2015-10-01,2015,10,October,muslim,19
2015-10-01,2015,10,October,terrorism,14
2015-11-01,2015,11,November,muslim,33
2015-11-01,2015,11,November,terrorism,24
2015-12-01,2015,12,December,muslim,94
2015-12-01,2015,12,December,terrorism,35
2016-01-01,2016,1,January,muslim,9
2016-01-01,2016,1,January,terrorism,9
2016-02-01,2016,2,February,muslim,13
2016-02-01,2016,2,February,terrorism,13
2016-03-01,2016,3,March,muslim,13
2016-03-01,2016,3,March,terrorism,10
2016-04-01,2016,4,April,muslim,13
2016-04-01,2016,4,April,terrorism,9
2016-05-01,2016,5,May,muslim,14
2016-05-01,2016,5,May,terrorism,9
2016-06-01,2016,6,June,muslim,23
2016-06-01,2016,6,June,terrorism,12
2016-07-01,2016,7,July,muslim,16
2016-07-01,2016,7,July,terrorism,7
2016-08-01,2016,8,August,muslim,13
2016-08-01,2016,8,August,terrorism,7
2016-09-01,2016,9,September,muslim,18
2016-09-01,2016,9,September,terrorism,21
2016-10-01,2016,10,October,muslim,14
2016-10-01,2016,10,October,terrorism,14
2016-11-01,2016,11,November,muslim,44
2016-11-01,2016,11,November,terrorism,17
2016-12-01,2016,12,December,muslim,23
2016-12-01,2016,12,December,terrorism,19
2017-01-01,2017,1,January,muslim,69
2017-01-01,2017,1,January,terrorism,14
2017-02-01,2017,2,February,muslim,100
2017-02-01,2017,2,February,terrorism,8
2017-03-01,2017,3,March,muslim,20
2017-03-01,2017,3,March,terrorism,21
2017-04-01,2017,4,April,muslim,28
2017-04-01,2017,4,April,terrorism,28
2017-05-01,2017,5,May,muslim,35
2017-05-01,2017,5,May,terrorism,35
2017-06-01,2017,6,June,muslim,26
2017-06-01,2017,6,June,terrorism,26
2017-07-01,2017,7,July,muslim,45
2017-07-01,2017,7,July,terrorism,0
2017-08-01,2017,8,August,muslim,14
2017-08-01,2017,8,August,terrorism,28
2017-09-01,2017,9,September,muslim,14
2017-09-01,2017,9,September,terrorism,14
2017-10-01,2017,10,October,muslim,27
2017-10-01,2017,10,October,terrorism,21
2017-11-01,2017,11,November,muslim,58
2017-11-01,2017,11,November,terrorism,0
2017-12-01,2017,12,December,muslim,15
2017-12-01,2017,12,December,terrorism,29
2018-01-01,2018,1,January,muslim,27
2018-01-01,2018,1,January,terrorism,13
2018-02-01,2018,2,February,muslim,0
2018-02-01,2018,2,February,terrorism,16
2018-03-01,2018,3,March,muslim,0
2018-03-01,2018,3,March,terrorism,15
2018-04-01,2018,4,April,muslim,16
2018-04-01,2018,4,April,terrorism,16
2018-05-01,2018,5,May,muslim,33
2018-05-01,2018,5,May,terrorism,16
2018-06-01,2018,6,June,muslim,0
2018-06-01,2018,6,June,terrorism,0
2018-07-01,2018,7,July,muslim,0
2018-07-01,2018,7,July,terrorism,0
2018-08-01,2018,8,August,muslim,18
2018-08-01,2018,8,August,terrorism,0
2018-09-01,2018,9,September,muslim,17
2018-09-01,2018,9,September,terrorism,17
2018-10-01,2018,10,October,muslim,0
2018-10-01,2018,10,October,terrorism,25
2018-11-01,2018,11,November,muslim,18
2018-11-01,2018,11,November,terrorism,18
2018-12-01,2018,12,December,muslim,19
2018-12-01,2018,12,December,terrorism,0
2019-01-01,2019,1,January,muslim,0
2019-01-01,2019,1,January,terrorism,0
2019-02-01,2019,2,February,muslim,19
2019-02-01,2019,2,February,terrorism,19
2019-03-01,2019,3,March,muslim,44
2019-03-01,2019,3,March,terrorism,0
2019-04-01,2019,4,April,muslim,37
2019-04-01,2019,4,April,terrorism,38
2019-05-01,2019,5,May,muslim,19
2019-05-01,2019,5,May,terrorism,19
2019-06-01,2019,6,June,muslim,19
2019-06-01,2019,6,June,terrorism,0
2019-07-01,2019,7,July,muslim,18
2019-07-01,2019,7,July,terrorism,18
2019-08-01,2019,8,August,muslim,18
2019-08-01,2019,8,August,terrorism,0
2019-09-01,2019,9,September,muslim,18
2019-09-01,2019,9,September,terrorism,0
2019-10-01,2019,10,October,muslim,0
2019-10-01,2019,10,October,terrorism,26
2019-11-01,2019,11,November,muslim,0
2019-11-01,2019,11,November,terrorism,19
2019-12-01,2019,12,December,muslim,20
2019-12-01,2019,12,December,terrorism,0
2020-01-01,2020,1,January,muslim,0
2020-01-01,2020,1,January,terrorism,0
2020-02-01,2020,2,February,muslim,16
2020-02-01,2020,2,February,terrorism,0
2020-03-01,2020,3,March,muslim,9
2020-03-01,2020,3,March,terrorism,0
2020-04-01,2020,4,April,muslim,0
2020-04-01,2020,4,April,terrorism,11
2020-05-01,2020,5,May,muslim,12
2020-05-01,2020,5,May,terrorism,12
2020-06-01,2020,6,June,muslim,0
2020-06-01,2020,6,June,terrorism,0
2020-07-01,2020,7,July,muslim,13
2020-07-01,2020,7,July,terrorism,13
2020-08-01,2020,8,August,muslim,0
2020-08-01,2020,8,August,terrorism,14
2020-09-01,2020,9,September,muslim,0
2020-09-01,2020,9,September,terrorism,14
2020-10-01,2020,10,October,muslim,0
2020-10-01,2020,10,October,terrorism,0
